crypto.BTC.address,BTC,BTC,BTC
crypto.B2M.version.MATIC.address,EVM,MATIC,B2M
crypto.B2M.version.BEP20.address,EVM,BSC,B2M
crypto.B2M.version.ERC20.address,EVM,ETH,B2M
crypto.ETH.address,EVM,ETH,ETH
crypto.ZIL.address,ZIL,ZIL,ZIL
crypto.LTC.address,LTC,LTC,LTC
crypto.ETC.address,EVM,ETC,ETC
crypto.EQL.address,BNB,BNB,EQL
crypto.LINK.address,EVM,ETH,LINK
crypto.USDC.address,EVM,ETH,USDC
crypto.USDC.version.ERC20.address,EVM,ETH,USDC
crypto.USDC.version.OKT.address,EVM,OKT,USDC
crypto.USDC.version.MATIC.address,EVM,MATIC,USDC
crypto.USDC.version.SOL.address,SOL,SOL,USDC
crypto.USDC.version.AVAX.address,EVM,AVAX,USDC
crypto.BAT.address,EVM,ETH,BAT
crypto.REP.address,EVM,ETH,REP
crypto.ZRX.address,EVM,ETH,ZRX
crypto.DAI.address,EVM,ETH,DAI
crypto.BCH.address,BCH,BCH,BCH
crypto.XMR.address,XMR,XMR,XMR
crypto.DASH.address,DASH,DASH,DASH
crypto.NEO.address,NEO,NEO,NEO
crypto.SWTH.address,EVM,ETH,SWTH
crypto.DOGE.address,DOGE,DOGE,DOGE
crypto.XRP.address,XRP,XRP,XRP
crypto.ZEC.address,ZEC,ZEC,ZEC
crypto.YEC.address,YEC,YEC,YEC
crypto.ADA.address,ADA,ADA,ADA
crypto.EOS.address,EOSIO,EOSIO,EOS
crypto.XLM.address,XLM,XLM,XLM
crypto.BNB.address,BNB,BNB,BNB
crypto.BNB.version.BEP2.address,BNB,BNB,BNB
crypto.BNB.version.BEP20.address,EVM,BSC,BNB
crypto.BTG.address,BTG,BTG,BTG
crypto.NANO.address,NANO,NANO,NANO
crypto.WAVES.address,WAVES,WAVES,WAVES
crypto.KMD.address,KMD,KMD,KMD
crypto.AE.address,AE,AE,AE
crypto.RSK.address,EVM,RSK,RSK
crypto.WAN.address,EVM,WAN,WAN
crypto.UBQ.address,EVM,UBQ,UBQ
crypto.XTZ.address,XTZ,XTZ,XTZ
crypto.IOTA.address,IOTA,IOTA,IOTA
crypto.VET.address,EVM,VET,VET
crypto.QTUM.address,QTUM,QTUM,QTUM
crypto.ICX.address,EVM,ICX,ICX
crypto.DGB.address,DGB,DGB,DGB
crypto.XZC.address,XZC,XZC,XZC
crypto.FIRO.address,FIRO,FIRO,FIRO
crypto.DCR.address,DCR,DCR,DCR
crypto.XEM.address,XEM,XEM,XEM
crypto.LSK.address,LSK,LSK,LSK
crypto.ATOM.address,ATOM,ATOM,ATOM
crypto.ONG.address,ONT,ONT,ONG
crypto.ONT.address,ONT,ONT,ONT
crypto.SMART.address,SMART,SMART,SMART
crypto.TPAY.address,TPAY,TPAY,TPAY
crypto.GRS.address,GRS,GRS,GRS
crypto.BSV.address,BCH,BSV,BSV
crypto.GAS.address,NEO,NEO,GAS
crypto.TRX.address,TRX,TRX,TRX
crypto.VTHO.address,EVM,VET,VTHO
crypto.BCD.address,BTC,BCD,BCD
crypto.KIN.address,SOL,SOL,KIN
crypto.RVN.address,RVN,RVN,RVN
crypto.ARK.address,ARK,ARK,ARK
crypto.XVG.address,XVG,XVG,XVG
crypto.ALGO.address,ALGO,ALGO,ALGO
crypto.NEBL.address,NEBL,NEBL,NEBL
crypto.XPM.address,XPM,XPM,XPM
crypto.ONE.address,EVM,ONE,ONE
crypto.BNTY.address,EVM,ETH,BNTY
crypto.CRO.address,CRO,CRO,CRO
crypto.TWT.address,EVM,BSC,TWT
crypto.SIERRA.address,SIERRA,SIERRA,SIERRA
crypto.VSYS.address,VSYS,VSYS,VSYS
crypto.HIVE.address,HIVE,HIVE,HIVE
crypto.HT.address,EVM,ETH,HT
crypto.ENJ.address,EVM,ENJ,ENJ
crypto.YFI.address,EVM,ETH,YFI
crypto.MTA.address,EVM,ETH,MTA
crypto.COMP.address,EVM,ETH,COMP
crypto.BAL.address,EVM,ETH,BAL
crypto.AMPL.address,EVM,ETH,AMPL
crypto.LEND.address,EVM,ETH,LEND
crypto.TLOS.address,EVM,ETH,TLOS
crypto.XDC.address,XDC,XDC,XDC
crypto.XST.address,XST,XST,XST
crypto.STRAX.address,EVM,ETH,STRAX
crypto.SIGNA.address,EVM,BSC,SIGNA
crypto.NIM.address,NIMQ,NIMQ,NIM
crypto.GUAP.address,GUAP,GUAP,GUAP
crypto.YLD.address,EVM,ETH,YLD
crypto.OKT.address,EVM,OKT,OKT
crypto.ELA.version.ELA.address,EVM,ESC,ELA
crypto.ELA.version.ESC.address,EVM,ESC,ELA
crypto.USDT.version.ERC20.address,EVM,ETH,USDT
crypto.USDT.version.TRON.address,TRX,TRX,USDT
crypto.USDT.version.EOS.address,EOSIO,EOSIO,USDT
crypto.USDT.version.OMNI.address,BTC,OMNI,USDT
crypto.FTM.version.ERC20.address,EVM,ETH,FTM
crypto.FTM.version.BEP2.address,BNB,BNB,FTM
crypto.FTM.version.OPERA.address,EVM,FTM,FTM
crypto.FUSE.version.ERC20.address,EVM,ETH,FUSE
crypto.FUSE.version.FUSE.address,EVM,FUSE,FUSE
crypto.MATIC.version.MATIC.address,EVM,MATIC,MATIC
crypto.MATIC.version.BEP20.address,EVM,BSC,MATIC
crypto.MATIC.version.ERC20.address,EVM,ETH,MATIC
crypto.DOT.address,DOT,DOT,DOT
crypto.UNI.version.ERC20.address,EVM,ETH,UNI
crypto.UNI.version.BEP20.address,EVM,BSC,UNI
crypto.UNI.version.MATIC.address,EVM,MATIC,UNI
crypto.UNI.version.HRC20.address,EVM,ONE,UNI
crypto.UNI.version.XDAI.address,EVM,XDAI,UNI
crypto.SOL.address,SOL,SOL,SOL
crypto.BUSD.version.ERC20.address,EVM,ETH,BUSD
crypto.BUSD.version.BEP20.address,EVM,BSC,BUSD
crypto.BUSD.version.HRC20.address,EVM,ONE,BUSD
crypto.ICP.address,ICP,ICP,ICP
crypto.THETA.address,EVM,THETA,THETA
crypto.WBTC.version.ERC20.address,EVM,ETH,WBTC
crypto.WBTC.version.MATIC.address,EVM,MATIC,WBTC
crypto.WBTC.version.FANTOM.address,EVM,FTM,WBTC
crypto.WBTC.version.HRC20.address,EVM,ONE,WBTC
crypto.WBTC.version.XDAI.address,EVM,XDAI,WBTC
crypto.FIL.address,FIL,FIL,FIL
crypto.CDAI.address,EVM,ETH,CDAI
crypto.KSM.address,KSM,KSM,KSM
crypto.OKB.address,EVM,OKB,OKB
crypto.AAVE.version.ERC20.address,EVM,ETH,AAVE
crypto.AAVE.version.MATIC.address,EVM,MATIC,AAVE
crypto.AAVE.version.FANTOM.address,EVM,FTM,AAVE
crypto.AAVE.version.HRC20.address,EVM,ONE,AAVE
crypto.BLOCKS.address,EVM,ETH,BLOCKS
crypto.SHIB.version.ERC20.address,EVM,ETH,SHIB
crypto.SHIB.version.MATIC.address,EVM,MATIC,SHIB
crypto.SHIB.version.FANTOM.address,EVM,FTM,SHIB
crypto.CEL.version.ERC20.address,EVM,ETH,CEL
crypto.CEL.version.MATIC.address,EVM,MATIC,CEL
crypto.CEL.version.FANTOM.address,EVM,FTM,CEL
crypto.CEL.version.HRC20.address,EVM,ONE,CEL
crypto.CUSDC.address,EVM,ETH,CUSD
crypto.CETH.address,EVM,ETH,CETH
crypto.AMP.address,EVM,ETH,AMP
crypto.CAKE.version.BEP20.address,EVM,BSC,CAKE
crypto.CAKE.version.HRC20.address,EVM,ONE,CAKE
crypto.MIOTA.address,IOTA,IOTA,MIOTA
crypto.FTT.address,EVM,ETH,FTT
crypto.MKR.address,EVM,ETH,MKR
crypto.TFUEL.address,EVM,THETA,TFUEL
crypto.KLAY.address,EVM,KLAY,KLAY
crypto.LUNA.address,LUNA,LUNA,LUNA
crypto.AVAX.address,EVM,AVAX,AVAX
crypto.LEO.address,EVM,ETH,LEO
crypto.SAFEMOON.version.BEP20.address,EVM,BSC,SAFEMOON
crypto.SAFEMOON.version.HRC20.address,EVM,ONE,SAFEMOON
crypto.UST.address,LUNA,LUNA,UST
crypto.RUNE.address,BNB,BNB,RUNE
crypto.HBAR.address,HBAR,HBAR,HBAR
crypto.TEL.version.ERC20.address,EVM,ETH,TEL
crypto.TEL.version.MATIC.address,EVM,MATIC,TEL
crypto.CHZ.address,EVM,ETH,CHZ
crypto.SUSHI.version.ERC20.address,EVM,ETH,SUSHI
crypto.SUSHI.version.BEP20.address,EVM,BSC,SUSHI
crypto.SUSHI.version.MATIC.address,EVM,MATIC,SUSHI
crypto.SUSHI.version.FANTOM.address,EVM,FTM,SUSHI
crypto.SUSHI.version.HRC20.address,EVM,ONE,SUSHI
crypto.EGLD.address,EGLD,EGLD,EGLD
crypto.TUSD.version.ERC20.address,EVM,ETH,TUSD
crypto.TUSD.version.BEP20.address,EVM,BSC,TUSD
crypto.TUSD.version.AVAX.address,EVM,AVAX,TUSD
crypto.TUSD.version.HRC20.address,EVM,ONE,TUSD
crypto.TUSD.version.BEP2.address,BNB,BNB,TUSD
crypto.TUSD.version.TRON.address,TRX,TRX,TUSD
crypto.HBTC.version.ERC20.address,EVM,ETH,HBTC
crypto.HBTC.version.HRC20.address,EVM,HRC,HBTC
crypto.SNX.version.ERC20.address,EVM,ETH,SNX
crypto.SNX.version.MATIC.address,EVM,MATIC,SNX
crypto.SNX.version.FANTOM.address,EVM,FTM,SNX
crypto.SNX.version.HRC20.address,EVM,HRC,SNX
crypto.HOT.version.ERC20.address,EVM,ETH,HOT
crypto.HOT.version.HRC20.address,EVM,HRC,HOT
crypto.NEAR.address,NEAR,NEAR,NEAR
crypto.HNT.address,HNT,HNT,HNT
crypto.STETH.address,EVM,ETH,STETH
crypto.NEXO.version.ERC20.address,EVM,ETH,NEXO
crypto.NEXO.version.FANTOM.address,EVM,FTM,NEXO
crypto.PAX.address,EVM,ETH,PAX
crypto.STX.address,STX,STX,STX
crypto.MANA.version.ERC20.address,EVM,ETH,MANA
crypto.MANA.version.MATIC.address,EVM,MATIC,MANA
crypto.MDX.version.HRC20.address,EVM,HRC,MDX
crypto.MDX.version.BEP20.address,EVM,BSC,MDX
crypto.ZEN.address,EVM,ZEN,ZEN
crypto.ARRR.address,ARRR,ARRR,ARRR
crypto.BNT.address,EVM,ETH,BNT
crypto.LUSD.version.ERC20.address,EVM,ETH,LUSD
crypto.LUSD.version.MATIC.address,EVM,MATIC,LUSD
crypto.GRT.version.ERC20.address,EVM,ETH,GRT
crypto.GRT.version.MATIC.address,EVM,MATIC,GRT
crypto.GRT.version.HRC20.address,EVM,HRC,GRT
crypto.SC.address,SC,SC,SC
crypto.HUSD.version.ERC20.address,EVM,ETH,HUSD
crypto.HUSD.version.HRC20.address,EVM,HRC,HUSD
crypto.CRV.version.ERC20.address,EVM,ETH,CRV
crypto.CRV.version.MATIC.address,EVM,MATIC,CRV
crypto.CRV.version.FANTOM.address,EVM,FTM,CRV
crypto.UMA.address,EVM,ETH,UMA
crypto.WRX.version.BEP2.address,BNB,BNB,WRX
crypto.WRX.version.MATIC.address,EVM,MATIC,WRX
crypto.AR.address,AR,AR,AR
crypto.OMG.address,EVM,ETH,OMG
crypto.GT.address,EVM,ETH,GT
crypto.QNT.address,EVM,ETH,QNT
crypto.CHSB.address,EVM,ETH,CHSB
crypto.IOST.address,IOST,IOST,IOST
crypto.NXM.address,EVM,ETH,NXM
crypto.KCS.address,EVM,ETH,KCS
crypto.LPT.version.ERC20.address,EVM,ETH,LPT
crypto.LPT.version.HRC20.address,EVM,HRC,LPT
crypto.XSUSHI.address,EVM,ETH,XSUSHI
crypto.CUSDT.address,EVM,ETH,CUSDT
crypto.FLOW.address,FLOW,FLOW,FLOW
crypto.ANKR.address,EVM,ETH,ANKR
crypto.HBC.address,EVM,ETH,HBC
crypto.VGX.address,EVM,ETH,VGX
crypto.FEI.address,EVM,ETH,FEI
crypto.BAKE.version.BEP20.address,EVM,BSC,BAKE
crypto.BAKE.version.HRC20.address,EVM,HRC,BAKE
crypto.1INCH.version.ERC20.address,EVM,ETH,INCH
crypto.1INCH.version.BEP20.address,EVM,BSC,INCH
crypto.1INCH.version.MATIC.address,EVM,MATIC,INCH
crypto.1INCH.version.HRC20.address,EVM,HRC,INCH
crypto.CKB.address,CKB,CKB,CKB
crypto.WOO.version.ERC20.address,EVM,ETH,WOO
crypto.WOO.version.HRC20.address,EVM,HRC,WOO
crypto.TITAN.address,EVM,ETH,TITAN
crypto.OMI.address,EVM,ETH,OMI
crypto.MINA.address,MINA,MINA,MINA
crypto.SETH.address,EVM,ETH,SETH
crypto.RSR.address,EVM,ETH,RSR
crypto.OXY.version.SOLANA.address,SOL,SOL,OXY
crypto.OXY.version.ERC20.address,EVM,ETH,OXY
crypto.REN.version.ERC20.address,EVM,ETH,REN
crypto.REN.version.HRC20.address,EVM,HRC,REN
crypto.XCH.address,XCH,XCH,XCH
crypto.RENBTC.version.ERC20.address,EVM,ETH,RENBTC
crypto.RENBTC.version.BEP20.address,EVM,BSC,RENBTC
crypto.RENBTC.version.HRC20.address,EVM,HRC,RENBTC
crypto.USDN.address,EVM,ETH,USDN
crypto.LRC.address,EVM,ETH,LRC
crypto.PUNDIX.address,EVM,ETH,PUNDIX
crypto.ERG.address,ERG,ERG,ERG
crypto.WIN.address,EVM,ETH,WIN
crypto.NPXS.address,EVM,ETH,NPXS
crypto.TRIBE.address,EVM,ETH,TRIBE
crypto.MAID.address,MAID,MAID,MAID
crypto.ASD.address,EVM,ETH,ASD
crypto.CUNI.address,EVM,ETH,CUNI
crypto.CELO.address,EVM,CELO,CELO
crypto.DENT.address,EVM,ETH,DENT
crypto.SNT.address,EVM,ETH,SNT
crypto.FEG.version.ERC20.address,EVM,ETH,FEG
crypto.FEG.version.HRC20.address,EVM,HRC,FEG
crypto.SKL.address,EVM,ETH,SKL
crypto.ALUSD.address,EVM,ETH,ALUSD
crypto.MIR.version.ERC20.address,EVM,ETH,MIR
crypto.MIR.version.BEP20.address,EVM,BSC,MIR
crypto.GLM.address,EVM,ETH,GLM
crypto.PAXG.version.ERC20.address,EVM,ETH,PAXG
crypto.PAXG.version.HRC20.address,EVM,HRC,PAXG
crypto.CFX.address,EVM,CFX,CFX
crypto.UOS.address,EVM,ETH,UOS
crypto.SVCS.address,EVM,ETH,SVCS
crypto.REEF.version.ERC20.address,EVM,ETH,REEF
crypto.REEF.version.BEP20.address,EVM,BSC,REEF
crypto.REEF.version.HRC20.address,EVM,HRC,REEF
crypto.GNO.address,EVM,ETH,GNO
crypto.USDP.address,EVM,ETH,USDP
crypto.KAVA.address,EVM,ETH,KAVA
crypto.ALCX.address,EVM,ETH,ALCX
crypto.EWT.address,EWT,EWT,EWT
crypto.TON.address,TON,TON,TON
crypto.RLC.address,EVM,ETH,RLC
crypto.AXS.address,EVM,ETH,AXS
crypto.AUDIO.address,EVM,ETH,AUDIO
crypto.XVS.address,EVM,BSC,XVS
crypto.BAND.version.ERC20.address,EVM,ETH,BAND
crypto.BAND.version.FANTOM.address,EVM,FTM,BAND
crypto.NMR.address,EVM,ETH,NMR
crypto.INJ.version.ERC20.address,EVM,ETH,INJ
crypto.INJ.version.BEP20.address,EVM,BSC,INJ
crypto.WAXP.address,WAXP,WAXP,WAXP
crypto.UQC.address,EVM,ETH,UQC
crypto.IOTX.address,EVM,IOTX,IOTX
crypto.FUN.address,EVM,ETH,FUN
crypto.OCEAN.address,EVM,ETH,OCEAN
crypto.SAND.version.ERC20.address,EVM,ETH,SAND
crypto.SAND.version.HRC20.address,EVM,HRC,SAND
crypto.CTSI.version.ERC20.address,EVM,ETH,CTSI
crypto.CTSI.version.BEP20.address,EVM,BSC,CTSI
crypto.CTSI.version.MATIC.address,EVM,MATIC,CTSI
crypto.RAY.address,EVM,ETH,RAY
crypto.ANC.version.TERRA.address,LUNA,LUNA,ANC
crypto.ANC.version.ERC20.address,EVM,ETH,ANC
crypto.IQ.version.ERC20.address,EVM,ETH,IQ
crypto.IQ.version.BEP20.address,EVM,BSC,IQ
crypto.IQ.version.MATIC.address,EVM,MATIC,IQ
crypto.SUSD.version.ERC20.address,EVM,ETH,SUSD
crypto.SUSD.version.FANTOM.address,EVM,FTM,SUSD
crypto.KLV.address,KLV,KLV,KLV
crypto.BTCST.address,EVM,BSC,BTCST
crypto.TLM.address,EVM,ETH,TLM
crypto.AKT.address,AKT,AKT,AKT
crypto.STMX.address,EVM,ETH,STMX
crypto.PROM.address,EVM,ETH,PROM
crypto.XPRT.address,XPRT,XPRT,XPRT
crypto.SRM.version.ERC20.address,EVM,ETH,SRM
crypto.SRM.version.SOLANA.address,SOL,SOL,SRM
crypto.RPL.address,EVM,ETH,RPL
crypto.AGIX.address,EVM,ETH,AGIX
crypto.CELR.address,EVM,ETH,CELR
crypto.FET.address,FET,FET,FET
crypto.FET.version.ERC20.address,EVM,ETH,FET
crypto.FET.version.FETCHAI.address,FET,FET,FET
crypto.OXT.address,EVM,ETH,OXT
crypto.ARDR.address,ARDR,ARDR,ARDR
crypto.MATH.address,EVM,ETH,MATH
crypto.10SET.address,EVM,BSC,SET
crypto.POLY.address,EVM,ETH,POLY
crypto.GUSD.address,EVM,ETH,GUSD
crypto.NKN.address,NKN,NKN,NKN
crypto.CVC.address,EVM,ETH,CVC
crypto.GTC.address,EVM,ETH,GTC
crypto.STEEM.address,STEEM,STEEM,STEEM
crypto.ORN.address,EVM,ETH,ORN
crypto.KEEP.version.ERC20.address,EVM,ETH,KEEP
crypto.KEEP.version.HRC20.address,EVM,HRC,KEEP
crypto.HXRO.address,EVM,ETH,HXRO
crypto.ORBS.address,EVM,ETH,ORBS
crypto.ALPHA.version.ERC20.address,EVM,ETH,ALPHA
crypto.ALPHA.version.BEP20.address,EVM,BSC,ALPHA
crypto.DODO.version.ERC20.address,EVM,ETH,DODO
crypto.DODO.version.BEP20.address,EVM,BSC,DODO
crypto.OGN.address,EVM,ETH,OGN
crypto.KNCL.version.ERC20.address,EVM,ETH,KNCL
crypto.KNCL.version.FANTOM.address,EVM,FTM,KNCL
crypto.KNCL.version.HRC20.address,EVM,HRC,KNCL
crypto.MED.address,MED,MED,MED
crypto.XAUT.address,EVM,ETH,XAUT
crypto.VLX.address,EVM,VLX,VLX
crypto.PHA.address,PHA,PHA,PHA
crypto.KOBE.address,EVM,ETH,KOBE
crypto.PERP.address,EVM,ETH,PERP
crypto.XHV.address,XHV,XHV,XHV
crypto.META.address,EVM,META,META
crypto.SEUR.address,EVM,ETH,SEUR
crypto.MONA.address,MONA,MONA,MONA
crypto.ANT.address,ETH,EVM,ANT
crypto.HYDRA.address,EVM,HYDRA,HYDRA
crypto.ZKS.address,EVM,ETH,ZKS
crypto.SXP.version.ERC20.address,EVM,ETH,SXP
crypto.SXP.version.BEP20.address,EVM,BSC,SXP
crypto.SXP.version.HRC20.address,EVM,HRC,SXP
crypto.CSPR.address,CSPR,CSPR,CSPR
crypto.MTL.address,EVM,ETH,MTL
crypto.NU.address,EVM,ETH,NU
crypto.ZMT.address,EVM,ETH,ZMT
crypto.LOC.address,EVM,ETH,LOC
crypto.TKO.address,EVM,BSC,TKO
crypto.ETN.address,ETN,ETN,ETN
crypto.UBT.version.ERC20.address,EVM,ETH,UBT
crypto.UBT.version.MATIC.address,EVM,MATIC,UBT
crypto.EXRD.address,EVM,ETH,EXRD
crypto.NMX.address,EVM,BSC,NMX
crypto.RIF.address,EVM,RSK,RIF
crypto.STORJ.version.ERC20.address,EVM,ETH,STORJ
crypto.STORJ.version.HRC20.address,EVM,HRC,STORJ
crypto.AVA.address,EVM,ETH,AVA
crypto.DPI.version.ERC20.address,EVM,ETH,DPI
crypto.DPI.version.MATIC.address,EVM,MATIC,DPI
crypto.DOG.version.MATIC.address,EVM,MATIC,DOG
crypto.DOG.version.BEP20.address,EVM,BSC,DOG
crypto.DOG.version.ERC20.address,EVM,ETH,DOG
crypto.DOG.version.AETH.address,EVM,AETH,DOG
crypto.DOG.version.OP.address,EVM,OP,DOG
crypto.GALA.version.ERC20.address,EVM,ETH,GALA
crypto.GALA.version.BEP20.address,EVM,BSC,GALA
crypto.MOBX.address,FET,FET,MOBX
crypto.FAB.address,FAB,FAB,FAB
crypto.BEAM.address,BEAM,BEAM,BEAM
crypto.DESO.address,DESO,DESO,DESO
crypto.FLR.address,EVM,FLR,FLR
crypto.SGB.address,EVM,FLR,SGB
crypto.0ZK.version.ERC20.address,EVM,ETH,0ZK
crypto.0ZK.version.BEP20.address,EVM,BSC,0ZK
crypto.0ZK.version.MATIC.address,EVM,MATIC,0ZK
crypto.0ZK.version.0ZK.address,0ZK,0ZK,0ZK
crypto.SUI.address,SUI,SUI,SUI
crypto.SWEAT.version.ERC20.address,EVM,ETH,SWEAT
crypto.SWEAT.version.NEP-141.address,NEAR,NEAR,SWEAT
crypto.POKT.address,POKT,POKT,POKT
crypto.KAI.address,EVM,ETH,KAI
crypto.XLA.address,XLA,XLA,XLA
crypto.APT.address,APT,APT,APT
crypto.GTH.address,EVM,GTH,GTH
crypto.HI.version.ERC20.address,EVM,ETH,HI
crypto.HI.version.BEP20.address,EVM,BSC,HI
crypto.VERSE.address,EVM,ETH,VERSE