key,name,shortName,mapFrom,mapTo,networkKey,networkName,networkShortName,familyKey,familyName,familyShortName,validationRegex,validationCaseSensitive
token.EVM.MATIC.DOGA.address,DOGAMI,DOGA,,,token.EVM.MATIC.address,Polygon PoS,MATIC,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.MATIC.DOG.address,The Doge NFT,DOG,crypto.DOG.version.MATIC.address,crypto.DOG.version.MATIC.address,token.EVM.MATIC.address,Polygon PoS,MATIC,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.MATIC.DPI.address,DPI,DPI,crypto.DPI.version.MATIC.address,crypto.DPI.version.MATIC.address,token.EVM.MATIC.address,Polygon PoS,MATIC,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.MATIC.FARMS.address,Farmsent,FARMS,crypto.FARMS.version.MATIC.address,crypto.FARMS.version.MATIC.address,token.EVM.MATIC.address,Polygon PoS,MATIC,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.MATIC.GRT.address,GRT,GRT,crypto.GRT.version.MATIC.address,crypto.GRT.version.MATIC.address,token.EVM.MATIC.address,Polygon PoS,MATIC,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.MATIC.IQ.address,IQ,IQ,crypto.IQ.version.MATIC.address,crypto.IQ.version.MATIC.address,token.EVM.MATIC.address,Polygon PoS,MATIC,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.MATIC.LUSD.address,LUSD,LUSD,crypto.LUSD.version.MATIC.address,crypto.LUSD.version.MATIC.address,token.EVM.MATIC.address,Polygon PoS,MATIC,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.MATIC.MANA.address,Decentraland,MANA,crypto.MANA.version.MATIC.address,crypto.MANA.version.MATIC.address,token.EVM.MATIC.address,Polygon PoS,MATIC,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.MATIC.POL.address,Polygon,POL,crypto.MATIC.version.MATIC.address|token.EVM.MATIC.MATIC.address|crypto.POL.version.POL.address,crypto.MATIC.version.MATIC.address,token.EVM.MATIC.address,Polygon PoS,MATIC,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.MATIC.SHIB.address,Shiba Inu,SHIB,crypto.SHIB.version.MATIC.address,crypto.SHIB.version.MATIC.address,token.EVM.MATIC.address,Polygon PoS,MATIC,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.MATIC.SNX.address,SNX,SNX,crypto.SNX.version.MATIC.address,crypto.SNX.version.MATIC.address,token.EVM.MATIC.address,Polygon PoS,MATIC,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.MATIC.SUSHI.address,SUSHI,SUSHI,crypto.SUSHI.version.MATIC.address,crypto.SUSHI.version.MATIC.address,token.EVM.MATIC.address,Polygon PoS,MATIC,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.MATIC.TEL.address,TEL,TEL,crypto.TEL.version.MATIC.address,crypto.TEL.version.MATIC.address,token.EVM.MATIC.address,Polygon PoS,MATIC,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.MATIC.UBT.address,UBT,UBT,crypto.UBT.version.MATIC.address,crypto.UBT.version.MATIC.address,token.EVM.MATIC.address,Polygon PoS,MATIC,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.MATIC.UBU.address,Africarare,UBU,,,token.EVM.MATIC.address,Polygon PoS,MATIC,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.MATIC.UCASH.address,Universal Cash,UCASH,,,token.EVM.MATIC.address,Polygon PoS,MATIC,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.MATIC.UNI.address,Uniswap,UNI,crypto.UNI.version.MATIC.address,crypto.UNI.version.MATIC.address,token.EVM.MATIC.address,Polygon PoS,MATIC,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.MATIC.USDC.address,USD Coin,USDC,crypto.USDC.version.MATIC.address,crypto.USDC.version.MATIC.address,token.EVM.MATIC.address,Polygon PoS,MATIC,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.MATIC.USDT.address,Tether,USDT,crypto.USDT.version.MATIC.address,crypto.USDT.version.MATIC.address,token.EVM.MATIC.address,Polygon PoS,MATIC,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.MATIC.WBTC.address,Wrapped Bitcoin,WBTC,crypto.WBTC.version.MATIC.address,crypto.WBTC.version.MATIC.address,token.EVM.MATIC.address,Polygon PoS,MATIC,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.MATIC.WETH.address,Wrapped Ether,WETH,crypto.WETH.version.MATIC.address,crypto.WETH.version.MATIC.address,token.EVM.MATIC.address,Polygon PoS,MATIC,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.MATIC.WRX.address,WRX,WRX,crypto.WRX.version.MATIC.address,crypto.WRX.version.MATIC.address,token.EVM.MATIC.address,Polygon PoS,MATIC,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.META.META.address,Metadium,META,crypto.META.address,crypto.META.address,token.EVM.META.address,Metadium,META,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.OKB.OKB.address,X Layer,OKB,crypto.OKB.address,crypto.OKB.address,token.EVM.OKB.address,X Layer,OKB,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.OKTC.OKT.address,OKT Chain,OKT,crypto.OKT.address,crypto.OKT.address,token.EVM.OKTC.address,OKT Chain,OKTC,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.OKTC.USDC.address,USD Coin,USDC,crypto.USDC.version.OKT.address,crypto.USDC.version.OKT.address,token.EVM.OKTC.address,OKT Chain,OKTC,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.OKTC.USDT.address,Tether,USDT,crypto.USDT.version.OKC.address|crypto.USDT.version.OKB.address,crypto.USDT.version.OKC.address,token.EVM.OKTC.address,OKT Chain,OKTC,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ONE.1INCH.address,1inch,1INCH,crypto.1INCH.version.HRC20.address,crypto.1INCH.version.HRC20.address,token.EVM.ONE.address,Harmony,ONE,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ONE.AAVE.address,AAVE (LEND),AAVE,crypto.AAVE.version.HRC20.address,crypto.AAVE.version.HRC20.address,token.EVM.ONE.address,Harmony,ONE,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ONE.BAKE.address,BAKE,BAKE,crypto.BAKE.version.HRC20.address,crypto.BAKE.version.HRC20.address,token.EVM.ONE.address,Harmony,ONE,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ONE.BUSD.address,Paxos BUSD,BUSD,crypto.BUSD.version.HRC20.address,crypto.BUSD.version.HRC20.address,token.EVM.ONE.address,Harmony,ONE,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ONE.CAKE.address,PancakeSwap,CAKE,crypto.CAKE.version.HRC20.address,crypto.CAKE.version.HRC20.address,token.EVM.ONE.address,Harmony,ONE,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ONE.CEL.address,Celsius,CEL,crypto.CEL.version.HRC20.address,crypto.CEL.version.HRC20.address,token.EVM.ONE.address,Harmony,ONE,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ONE.FEG.address,FEG,FEG,crypto.FEG.version.HRC20.address,crypto.FEG.version.HRC20.address,token.EVM.ONE.address,Harmony,ONE,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ONE.GRT.address,GRT,GRT,crypto.GRT.version.HRC20.address,crypto.GRT.version.HRC20.address,token.EVM.ONE.address,Harmony,ONE,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ONE.HBTC.address,HBTC,HBTC,crypto.HBTC.version.HRC20.address,crypto.HBTC.version.HRC20.address,token.EVM.ONE.address,Harmony,ONE,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ONE.HOT.address,HOT,HOT,crypto.HOT.version.HRC20.address,crypto.HOT.version.HRC20.address,token.EVM.ONE.address,Harmony,ONE,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ONE.HUSD.address,HUSD,HUSD,crypto.HUSD.version.HRC20.address,crypto.HUSD.version.HRC20.address,token.EVM.ONE.address,Harmony,ONE,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ONE.KEEP.address,KEEP,KEEP,crypto.KEEP.version.HRC20.address,crypto.KEEP.version.HRC20.address,token.EVM.ONE.address,Harmony,ONE,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ONE.KNCL.address,KNCL,KNCL,crypto.KNCL.version.HRC20.address,crypto.KNCL.version.HRC20.address,token.EVM.ONE.address,Harmony,ONE,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ONE.LPT.address,LPT,LPT,crypto.LPT.version.HRC20.address,crypto.LPT.version.HRC20.address,token.EVM.ONE.address,Harmony,ONE,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ONE.MDX.address,MDX,MDX,crypto.MDX.version.HRC20.address,crypto.MDX.version.HRC20.address,token.EVM.ONE.address,Harmony,ONE,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ONE.ONE.address,Harmony,ONE,crypto.ONE.address,crypto.ONE.address,token.EVM.ONE.address,Harmony,ONE,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ONE.PAXG.address,PAXG,PAXG,crypto.PAXG.version.HRC20.address,crypto.PAXG.version.HRC20.address,token.EVM.ONE.address,Harmony,ONE,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ONE.REEF.address,REEF,REEF,crypto.REEF.version.HRC20.address,crypto.REEF.version.HRC20.address,token.EVM.ONE.address,Harmony,ONE,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ONE.REN.address,REN,REN,crypto.REN.version.HRC20.address,crypto.REN.version.HRC20.address,token.EVM.ONE.address,Harmony,ONE,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ONE.RENBTC.address,RENBTC,RENBTC,crypto.RENBTC.version.HRC20.address,crypto.RENBTC.version.HRC20.address,token.EVM.ONE.address,Harmony,ONE,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ONE.SAFEMOON.address,SafeMoon,SAFEMOON,crypto.SAFEMOON.version.HRC20.address,crypto.SAFEMOON.version.HRC20.address,token.EVM.ONE.address,Harmony,ONE,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ONE.SAND.address,The Sandbox,SAND,crypto.SAND.version.HRC20.address,crypto.SAND.version.HRC20.address,token.EVM.ONE.address,Harmony,ONE,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ONE.SNX.address,SNX,SNX,crypto.SNX.version.HRC20.address,crypto.SNX.version.HRC20.address,token.EVM.ONE.address,Harmony,ONE,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ONE.STORJ.address,STORJ,STORJ,crypto.STORJ.version.HRC20.address,crypto.STORJ.version.HRC20.address,token.EVM.ONE.address,Harmony,ONE,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ONE.SUSHI.address,SUSHI,SUSHI,crypto.SUSHI.version.HRC20.address,crypto.SUSHI.version.HRC20.address,token.EVM.ONE.address,Harmony,ONE,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ONE.SXP.address,SXP,SXP,crypto.SXP.version.HRC20.address,crypto.SXP.version.HRC20.address,token.EVM.ONE.address,Harmony,ONE,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ONE.TUSD.address,TrueUSD,TUSD,crypto.TUSD.version.HRC20.address,crypto.TUSD.version.HRC20.address,token.EVM.ONE.address,Harmony,ONE,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ONE.UNI.address,Uniswap,UNI,crypto.UNI.version.HRC20.address,crypto.UNI.version.HRC20.address,token.EVM.ONE.address,Harmony,ONE,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ONE.WBTC.address,Wrapped Bitcoin,WBTC,crypto.WBTC.version.HRC20.address,crypto.WBTC.version.HRC20.address,token.EVM.ONE.address,Harmony,ONE,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ONE.WOO.address,WOO,WOO,crypto.WOO.version.HRC20.address,crypto.WOO.version.HRC20.address,token.EVM.ONE.address,Harmony,ONE,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.OP.DOG.address,The Doge NFT,DOG,crypto.DOG.version.OP.address,crypto.DOG.version.OP.address,token.EVM.OP.address,Optimism,OP,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.RSK.RIF.address,RIF,RIF,crypto.RIF.address,crypto.RIF.address,token.EVM.RSK.address,Rootstock,RSK,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.RSK.RSK.address,RSK,RSK,crypto.RSK.address,crypto.RSK.address,token.EVM.RSK.address,Rootstock,RSK,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.UBQ.UBQ.address,Ubiq,UBQ,crypto.UBQ.address,crypto.UBQ.address,token.EVM.UBQ.address,Ubiq,UBQ,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.UCHAIN.UCASH.address,Universal Cash,UCASH,,,token.EVM.UCHAIN.address,Universal Chain,UCHAIN,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.VET.VET.address,VeChain,VET,crypto.VET.address,crypto.VET.address,token.EVM.VET.address,VeChain,VET,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.VET.VTHO.address,VeThor Token,VTHO,crypto.VTHO.address,crypto.VTHO.address,token.EVM.VET.address,VeChain,VET,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.VLX.VLX.address,VLX,VLX,crypto.VLX.address,crypto.VLX.address,token.EVM.VLX.address,Velas,VLX,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.WAN.WAN.address,Wanchain,WAN,crypto.WAN.address,crypto.WAN.address,token.EVM.WAN.address,Wanchain,WAN,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.XDAI.DONUT.address,Donut,DONUT,,,token.EVM.XDAI.address,XDai,XDAI,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.XDAI.UNI.address,Uniswap,UNI,crypto.UNI.version.XDAI.address,crypto.UNI.version.XDAI.address,token.EVM.XDAI.address,XDai,XDAI,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.XDAI.WBTC.address,Wrapped Bitcoin,WBTC,crypto.WBTC.version.XDAI.address,crypto.WBTC.version.XDAI.address,token.EVM.XDAI.address,XDai,XDAI,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ZEN.ZEN.address,ZEN,ZEN,crypto.ZEN.address,crypto.ZEN.address,token.EVM.ZEN.address,Horizen,ZEN,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EWT.EWT.EWT.address,EWT,EWT,crypto.EWT.address,crypto.EWT.address,token.EWT.EWT.address,EWT,EWT,token.EWT.address,EWT,EWT,^[a-zA-Z0-9]*$,TRUE
token.FAB.FAB.FAB.address,FAB,FAB,crypto.FAB.address,crypto.FAB.address,token.FAB.FAB.address,FAB,FAB,token.FAB.address,FAB,FAB,^[a-zA-Z0-9]{34}$,TRUE
token.FET.FET.FET.address,Fetch AI,FET,crypto.FET.version.FETCHAI.address|crypto.FET.address,crypto.FET.version.FETCHAI.address,token.FET.FET.address,Fetch AI,FET,token.FET.address,Fetch AI,FET,^fetch[a-zA-Z0-9]{39}$,TRUE
token.FET.FET.MOBX.address,MOBIX,MOBX,crypto.MOBX.address,crypto.MOBX.address,token.FET.FET.address,Fetch AI,FET,token.FET.address,Fetch AI,FET,^fetch[a-zA-Z0-9]{39}$,TRUE
token.FIL.FIL.FIL.address,Filecoin,FIL,crypto.FIL.address,crypto.FIL.address,token.FIL.FIL.address,FIL,FIL,token.FIL.address,FIL,FIL,^f[a-zA-Z0-9]*$,TRUE
token.FIRO.FIRO.FIRO.address,Firo,FIRO,crypto.FIRO.address,crypto.FIRO.address,token.FIRO.FIRO.address,FIRO,FIRO,token.FIRO.address,FIRO,FIRO,^[a-km-zA-HJ-NP-Z1-9]{34}$,TRUE
token.FLOW.FLOW.FLOW.address,Flow,FLOW,crypto.FLOW.address,crypto.FLOW.address,token.FLOW.FLOW.address,FLOW,FLOW,token.FLOW.address,FLOW,FLOW,^[a-zA-Z0-9]*$,TRUE
token.GRS.GRS.GRS.address,GroestIcoin,GRS,crypto.GRS.address,crypto.GRS.address,token.GRS.GRS.address,GRS,GRS,token.GRS.address,GRS,GRS,^[a-zA-Z0-9]{34}$,TRUE
token.GUAP.GUAP.GUAP.address,GUAP,GUAP,crypto.GUAP.address,crypto.GUAP.address,token.GUAP.GUAP.address,GUAP,GUAP,token.GUAP.address,GUAP,GUAP,"^(G|P)[a-zA-HJ-NP-Z0-9]{25,39}$",TRUE
token.HBAR.HBAR.HBAR.address,Hedera,HBAR,crypto.HBAR.address,crypto.HBAR.address,token.HBAR.HBAR.address,HBAR,HBAR,token.HBAR.address,HBAR,HBAR,^(0|(?:[1-9]\d*))\.(0|(?:[1-9]\d*))\.(0|(?:[1-9]\d*))(?:-([a-z]{5}))?$,TRUE
token.HIVE.HIVE.HIVE.address,HIVE,HIVE,crypto.HIVE.address,crypto.HIVE.address,token.HIVE.HIVE.address,HIVE,HIVE,token.HIVE.address,HIVE,HIVE,^(?!s*$).+,TRUE
token.HNT.HNT.HNT.address,Helium,HNT,crypto.HNT.address,crypto.HNT.address,token.HNT.HNT.address,HNT,HNT,token.HNT.address,HNT,HNT,^[a-zA-Z0-9]*$,TRUE
token.ICP.ICP.ICP.address,Internet Computer,ICP,crypto.ICP.address,crypto.ICP.address,token.ICP.ICP.address,ICP,ICP,token.ICP.address,ICP,ICP,^[a-zA-Z0-9]*$,TRUE
token.ICX.ICX.ICX.address,ICON,ICX,crypto.ICX.address,crypto.ICX.address,token.ICX.ICX.address,ICX,ICX,token.ICX.address,ICX,ICX,^[a-km-zA-HJ-NP-Z0-9]{42}$,TRUE
token.IOST.IOST.IOST.address,IOST,IOST,crypto.IOST.address,crypto.IOST.address,token.IOST.IOST.address,IOST,IOST,token.IOST.address,IOST,IOST,^[a-zA-Z0-9]*$,TRUE
token.IOTA.IOTA.IOTA.address,IOTA,IOTA,crypto.IOTA.address,crypto.IOTA.address,token.IOTA.IOTA.address,Iota,IOTA,token.IOTA.address,IOTA,IOTA,^[A-Z0-9]{90}$|^iota1[a-z0-9]{59}$,TRUE
token.IOTA.IOTA.MIOTA.address,IOTA,MIOTA,crypto.MIOTA.address,crypto.MIOTA.address,token.IOTA.IOTA.address,Iota,IOTA,token.IOTA.address,IOTA,IOTA,^[A-Z0-9]{90}$|^iota1[a-z0-9]{59}$,TRUE
token.KDA.KDA.KDA.address,Kadena,KDA,,,token.KDA.KDA.address,Kadena,KDA,token.KDA.address,Kadena,KDA,^k:[0-9a-zA-Z]{64}$,TRUE
token.KLV.KLV.KLV.address,Klever,KLV,crypto.KLV.address,crypto.KLV.address,token.KLV.KLV.address,KLV,KLV,token.KLV.address,KLV,KLV,^((k|K)(l|L)(v|V))[a-zA-Z0-9]{59}$,TRUE
token.KMD.KMD.KMD.address,Komodo,KMD,crypto.KMD.address,crypto.KMD.address,token.KMD.KMD.address,KMD,KMD,token.KMD.address,KMD,KMD,^R[a-km-zA-Z1-9]{33}$,TRUE
token.KSM.KSM.KSM.address,Kusama,KSM,crypto.KSM.address,crypto.KSM.address,token.KSM.KSM.address,KSM,KSM,token.KSM.address,KSM,KSM,^[CDEFGHJ][a-zA-Z0-9]*$,TRUE
token.LSK.LSK.LSK.address,Lisk,LSK,crypto.LSK.address,crypto.LSK.address,token.LSK.LSK.address,LSK,LSK,token.LSK.address,LSK,LSK,^[0-9a-z]{3}[23456789abcdefghjkmnopqrstuvwxyz]{38}$,TRUE
token.LTC.LTC.LTC.address,Litecoin,LTC,crypto.LTC.address,crypto.LTC.address,token.LTC.LTC.address,LTC,LTC,token.LTC.address,LTC,LTC,"^[LM3][a-km-zA-HJ-NP-Z1-9]{26,33}$|^ltc1[a-zA-HJ-NP-Z0-9]{25,39}$",TRUE
